panel,battery,reserve,kappa,D,cov,cov_seed,down,min_batt,battery_ok,recovery_ok
14.0,15.0,0.9,0.0,147.5687556231033,0.65,0.5799999999999998,0.0,8972.289999999995,True,False
14.0,15.0,1.0,0.0,152.57536211105997,0.5,0.5549999999999999,0.0,8972.289999999995,True,False
14.0,17.0,0.8,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,10972.290000000005,True,False
14.0,17.0,0.9,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,10972.290000000005,True,False
14.0,17.0,1.0,0.0,145.4629786639396,0.55,0.575,0.0,10972.290000000005,True,False
14.0,19.0,0.8,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,12972.290000000005,True,False
14.0,19.0,0.9,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,12972.290000000005,True,False
14.0,19.0,1.0,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,12972.290000000005,True,False
14.0,21.0,0.8,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,14972.290000000005,True,False
14.0,21.0,0.9,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,14972.290000000005,True,False
14.0,21.0,1.0,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,14972.290000000005,True,False
14.0,23.0,0.8,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,16972.290000000005,True,False
14.0,23.0,0.9,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,16972.290000000005,True,False
14.0,23.0,1.0,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,16972.290000000005,True,False
12.2,16.6,0.85,0.0,151.7287408383757,0.55,0.5549999999999999,0.0,10572.290000000005,True,False
